qc_id,objectid,region_nam,parent_cod,district,code,mahalla_no,shape_leng,shape_area,mfy_id,social_dat,social_d_1,social_d_2,social_d_3,social_d_4,social_d_5,social_d_6,social_d_7,social_d_8,social_d_9,social_d10,social_d11,social_d12,social_d13,population,area,density,NDVI_mean,NDVI_mean_1
0,437,Qoraqalpog'iston Respublikasi,1735,Taxiatosh tumani,1735228,Saroyko‘l OFY,0.488544905,0.006190471,23180010,QORAQALPOG'ISTON RESPUBLIKASI,TAXIATOSh tuman,САРАЙКОЛ,1735,1735228,506,471,981,196,10,7,92,134,542,"1,265",56672316.44,2.23E-08,3056.453125,0.305645313
1,438,Qoraqalpog'iston Respublikasi,1735,Taxiatosh tumani,1735228,Keneges OFY,0.385147608,0.004413808,23180005,QORAQALPOG'ISTON RESPUBLIKASI,TAXIATOSh tuman,КEНEГEС,1735,1735228,838,746,"1,514",321,20,20,169,170,814,"2,068",40410585.78,5.12E-08,3017.161621,0.301716162
3,440,Qoraqalpog'iston Respublikasi,1735,Taxiatosh tumani,1735228,Qusshilik MFY,0.13199571,0.000242716,23180006,QORAQALPOG'ISTON RESPUBLIKASI,TAXIATOSh tuman,КУСШЫЛЫК,1735,1735228,268,238,520,91,6,12,88,47,276,662,2223088.888,0.000297784,2119.979248,0.211997925
4,441,Qoraqalpog'iston Respublikasi,1735,Taxiatosh tumani,1735228,Taxiatosh MFY,0.105668725,0.000315918,23180011,QORAQALPOG'ISTON RESPUBLIKASI,TAXIATOSh tuman,ТАХИАТАШ,1735,1735228,661,566,988,274,8,19,124,84,479,"1,368",2892687.676,4.73E-07,1748.63147,0.174863147
5,442,Qoraqalpog'iston Respublikasi,1735,Taxiatosh tumani,1735228,Nurli keleshek MFY,0.087931594,0.000178899,23180008,QORAQALPOG'ISTON RESPUBLIKASI,TAXIATOSh tuman,НУРЛЫ КEЛEШEК,1735,1735228,840,683,"1,351",333,14,31,165,174,634,"1,840",1637980.953,1.12E-06,1488.716187,0.148871619
22,459,Qoraqalpog'iston Respublikasi,1735,Qonliko'l tumani,1735218,Nawrız OFY,0.579037621,0.006809686,23130011,QORAQALPOG'ISTON RESPUBLIKASI,QONLIKo'L tuman,НАУРИЗ,1735,1735218,819,721,"1,503",502,12,17,79,194,699,"2,043",61876106.54,3.30E-08,2638.040527,0.263804053
23,460,Qoraqalpog'iston Respublikasi,1735,Qonliko'l tumani,1735218,Altınkól OFY,0.75490571,0.013311753,23130008,QORAQALPOG'ISTON RESPUBLIKASI,QONLIKo'L tuman,АЛЬТЫНКОЛ ОФЙ,1735,1735218,621,500,"1,276",278,9,7,90,132,760,"1,706",120956973.3,1.41E-08,2976.892822,0.297689282
2,439,Qoraqalpog'iston Respublikasi,1735,Taxiatosh tumani,1735228,Naymanko‘l OFY,0.516266258,0.006721721,23180007,QORAQALPOG'ISTON RESPUBLIKASI,TAXIATOSh tuman,НАЙМАН,1735,1735228,"1,069",972,"2,024",419,21,45,154,222,"1,163","2,599",61555521.4,4.22E-08,2857.269043,0.285726904
6,443,Qoraqalpog'iston Respublikasi,1735,Taxiatosh tumani,1735228,Xalqlar do‘stligi MFY,0.049508859,9.75E-05,23180012,QORAQALPOG'ISTON RESPUBLIKASI,TAXIATOSh tuman,ХАЛКЛАР ДОСЛЫГЫ,1735,1735228,580,455,853,192,3,19,132,9,498,"1,157",892551.945,1.30E-06,1434.84082,0.143484082
7,444,Qoraqalpog'iston Respublikasi,1735,Taxiatosh tumani,1735228,Do‘stlik MFY,0.096376506,0.000374889,23180003,QORAQALPOG'ISTON RESPUBLIKASI,TAXIATOSh tuman,ДОСЛЫК,1735,1735228,791,652,"1,372",329,13,13,170,151,696,"1,902",3431598.167,5.54E-07,1488.804321,0.148880432
